timestamp,pair,mode,family,family_name,score,url,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_ema_fast_period,param_ema_slow_period,param_adx_period,param_adx_min,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,train_score,validation_score
2026-03-14T21:21:52,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/84ba1a0a00e7757627058faf2368a449,10,1.5,2.0,72,1,0.15,20,50,10,35,0.0,0.0,89.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:21:41,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/7d9af8450576e867909da430834d4e31,20,2.0,1.0,20,6,0.15,20,40,14,25,0.0,0.0,111.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:22:08,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/90e49caec7fe3988fc727e892254d56c,20,1.5,2.0,48,10,0.5,25,60,20,30,0.0,0.0,11.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:23:56,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/2d50edd557ab7398c6f6c6ff750e81af,20,1.0,2.0,20,6,0.5,10,50,10,30,0.0,0.0,164.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:23:20,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/fe9b2797463f8d2bcd1b8ad676dfae7b,20,2.0,1.0,72,6,0.15,20,60,20,25,0.0,0.0,35.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:24:19,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/749a808a072177e1053feef8ce65ea94,14,1.0,2.5,48,4,0.5,10,50,14,30,0.0,0.0,42.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:26:20,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/0c47924e7994d96ca8f858209a1e3608,10,1.5,2.0,48,1,0.5,20,50,20,35,0.0,0.0,5.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:24:56,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/04867221ee6b981801bc73532e912db5,14,2.5,1.5,72,4,0.5,20,60,20,30,0.0,0.0,11.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:25:36,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/2d2fa0117a9acc1363d2eca18165571c,14,2.5,3.0,72,8,0.15,20,80,20,25,0.0,0.0,37.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:25:58,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/2beacaa9e150032f93e9d416fed76126,20,2.0,2.5,20,6,0.15,25,50,14,35,0.0,0.0,24.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
