timestamp,pair,mode,family,family_name,score,url,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_bb_period,param_bb_std_dev,param_bb_rsi_long,param_bb_rsi_short,param_rsi_period,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,train_score,validation_score
2026-03-14T19:08:12,BTCUSDT,train,2,Bollinger Band Mean Reversion,-9.75,https://www.quantconnect.com/project/28937164/bcaaea8634d2f517517f1938e6407f66,20,2.0,2.0,30,1,0.35,25,2.0,25,75,20,0.0,0.0,445.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:28:04,BTCUSDT,train,2,Bollinger Band Mean Reversion,-9.75,https://www.quantconnect.com/project/28937164/edc013e07aed127068c9357466de437b,20,2.0,2.0,20,1,0.35,25,2.0,25,75,20,0.0,0.0,445.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:15:18,BTCUSDT,train,2,Bollinger Band Mean Reversion,-13.5,https://www.quantconnect.com/project/28937164/79352603c77a8b3aea9b2786516a93a8,10,2.0,2.0,20,1,0.35,30,2.0,25,75,20,0.0,0.0,520.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:35:05,BTCUSDT,train,2,Bollinger Band Mean Reversion,0.0,https://www.quantconnect.com/project/28937164/0d93a58aeb546ec248d79c3f44c98a37,20,2.0,1.0,20,1,0.35,25,2.5,25,75,20,0.0,0.0,250.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:37:09,BTCUSDT,train,2,Bollinger Band Mean Reversion,-9.75,https://www.quantconnect.com/project/28937164/48f5819b1bd975ebaf555dbf42196b33,10,2.0,2.0,20,1,0.35,25,2.0,25,70,20,0.0,0.0,445.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:38:53,BTCUSDT,train,2,Bollinger Band Mean Reversion,-1000000000,,20,2.0,2.0,20,1,0.5,30,2.5,25,75,20,,,,,,,,,,,,,,
2026-03-14T19:40:57,BTCUSDT,train,2,Bollinger Band Mean Reversion,0.0,https://www.quantconnect.com/project/28937164/a3bd3c928bbf0696e83c14287eebd7c7,10,2.0,2.0,30,1,0.35,25,2.5,25,75,20,0.0,0.0,250.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:42:41,BTCUSDT,train,2,Bollinger Band Mean Reversion,-1000000000,,20,2.0,2.0,20,2,0.35,15,2.5,25,70,14,,,,,,,,,,,,,,
2026-03-14T19:44:26,BTCUSDT,train,2,Bollinger Band Mean Reversion,-1000000000,,10,2.5,1.0,72,2,0.35,30,2.0,25,75,20,,,,,,,,,,,,,,
2026-03-14T19:45:39,BTCUSDT,train,2,Bollinger Band Mean Reversion,-7.3500000000000005,https://www.quantconnect.com/project/28937164/818e5db0553f789dbda3989201dae198,10,2.0,1.0,72,2,0.35,15,2.5,25,75,14,0.0,0.0,397.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:46:03,BTCUSDT,train,2,Bollinger Band Mean Reversion,-13.5,https://www.quantconnect.com/project/28937164/5bc20171e6694520373577418c62a6b3,20,2.0,2.0,30,1,0.35,30,2.0,25,75,20,0.0,0.0,520.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:46:29,BTCUSDT,train,2,Bollinger Band Mean Reversion,-45.300000000000004,https://www.quantconnect.com/project/28937164/dfeb0b2d445090216db7b690a32fc635,20,2.0,2.0,30,4,0.15,20,2.5,35,65,20,0.0,0.0,1156.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:48:17,BTCUSDT,train,2,Bollinger Band Mean Reversion,-1000000000,,10,3.0,1.5,20,10,0.25,30,2.0,30,65,14,,,,,,,,,,,,,,
2026-03-14T19:35:05,BTCUSDT,train,2,Bollinger Band Mean Reversion,0.0,https://www.quantconnect.com/project/28937164/0d93a58aeb546ec248d79c3f44c98a37,20,2.0,1.0,20,1,0.35,25,2.5,25,75,20,0.0,0.0,250.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:40:57,BTCUSDT,train,2,Bollinger Band Mean Reversion,0.0,https://www.quantconnect.com/project/28937164/a3bd3c928bbf0696e83c14287eebd7c7,10,2.0,2.0,30,1,0.35,25,2.5,25,75,20,0.0,0.0,250.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:26:39,BTCUSDT,train,2,Bollinger Band Mean Reversion,-2.35,https://www.quantconnect.com/project/28937164/18e9e97c74f5c2ef8fe86dec96449819,10,2.0,2.0,72,1,0.35,30,2.5,25,75,20,0.0,0.0,297.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:15:43,BTCUSDT,train,2,Bollinger Band Mean Reversion,-7.3500000000000005,https://www.quantconnect.com/project/28937164/40cde7e59ca59cd1c6ee44467c1b7afb,10,2.5,1.0,72,2,0.35,15,2.5,25,70,14,0.0,0.0,397.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:45:39,BTCUSDT,train,2,Bollinger Band Mean Reversion,-7.3500000000000005,https://www.quantconnect.com/project/28937164/818e5db0553f789dbda3989201dae198,10,2.0,1.0,72,2,0.35,15,2.5,25,75,14,0.0,0.0,397.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
